N°,Rev.,Uso Frecuente,Descripción del Activo Fijo,Instrumento (Especificación),Código de inventario del Activo Fijo (Etiqueta) o LEO,Campus/Sede donde se encuentra físicamente el Activo Fijo,Departamento al que pertenece el Activo Fijo,Ubicación del Activo Fijo,RUT usuario responsable del Activo Fijo,Nombre del usuario responsable del Activo Fijo,Estado del Activo Fijo,Marca,Modelo,Serie,Fecha ingreso,Etiqueta USM,Comentarios,Código de inventario del Activo Fijo en Orden Aldabético
444,Disponible,No,Teléfono,Teléfono gondola,LEO-329,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213409,2002-09-16 00:00:00,-,,LEO-0329
445,Disponible,No,Teléfono,Teléfono gondola,LEO-330,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213411,2002-09-16 00:00:00,-,,LEO-0330
446,Disponible,No,Teléfono,Teléfono gondola,LEO-331,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213413,2002-09-16 00:00:00,-,,LEO-0331
447,Disponible,No,Teléfono,Teléfono gondola,LEO-332,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213414,2002-09-16 00:00:00,-,,LEO-0332
448,Disponible,No,Teléfono,Teléfono gondola,LEO-333,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213415,2002-09-16 00:00:00,-,,LEO-0333
449,Disponible,No,Teléfono,Teléfono gondola,LEO-334,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213395,2002-09-16 00:00:00,-,,LEO-0334
450,Disponible,No,Teléfono,Teléfono gondola,LEO-335,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213391,2002-09-16 00:00:00,-,,LEO-0335
451,Disponible,No,Teléfono,Teléfono gondola,LEO-336,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213392,2002-09-16 00:00:00,-,,LEO-0336
452,Disponible,No,Teléfono,Teléfono gondola,LEO-337,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213393,2002-09-16 00:00:00,-,,LEO-0337
453,Disponible,No,Teléfono,Teléfono gondola,LEO-338,Casa Central,Electrónica,Sala B 356,,Uso general ,Sin Uso,General Electric,FS29120GE1-A,20213394,2002-09-16 00:00:00,-,,LEO-0338
